opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess
6B,NOP,IMP,1,1,nop_c_imp,NOP,yes
6C,JMP,ABS_IND,3,6,jmp_s_ind,JMP,yes
6D,ADC,ABS,3,4,adc_c_aba,ADC,yes
6E,ROR,ABS,3,6,ror_c_aba,ROR,yes
6F,NOP,IMP,1,1,bbr_zpb,BBR,no
70,BVS,REL,2,2,bvs_rel,BVS,yes
71,ADC,IND_Y,2,5,adc_s_idy,ADC,yes
72,ADC,ZPG_IND,2,5,adc_c_zpi,ADC,yes
73,NOP,IMP,1,1,nop_c_imp,NOP,yes
74,STZ,ZPG_X,2,4,stz_s_zpx,STZ,yes
75,ADC,ZPG_X,2,4,adc_s_zpx,ADC,yes
76,ROR,ZPG_X,2,6,ror_s_zpx,ROR,yes
77,NOP,IMP,1,1,rmb_bzp,RMB,no
78,SEI,IMP,1,2,sei_imp,SEI,yes
79,ADC,ABS_Y,3,4,adc_s_aby,ADC,yes
7A,PLY,IMP,1,4,ply_s_imp,PLY,yes
7B,NOP,IMP,1,1,nop_c_imp,NOP,yes
7C,JMP,ABS_IND_X,3,6,jmp_s_iax,JMP,yes
7D,ADC,ABS_X,3,4,adc_s_abx,ADC,yes
7E,ROR,ABS_X,3,6,ror_s_abx,ROR,yes
7F,NOP,IMP,1,1,bbr_zpb,BBR,no
80,BRA,REL,2,2,bra_rel,BRA,yes
81,STA,IND_X,2,6,sta_s_idx,STA,yes
82,NOP,IMP,2,2,nop_imm,NOP,yes
83,NOP,IMP,1,1,nop_c_imp,NOP,yes
84,STY,ZPG,2,3,sty_zpg,STY,yes
85,STA,ZPG,2,3,sta_zpg,STA,yes
86,STX,ZPG,2,3,stx_zpg,STX,yes
87,NOP,IMP,1,1,smb_bzp,SMB,no
88,DEY,IMP,1,2,dey_imp,DEY,yes
89,BIT,IMM,2,2,bit_imm,BIT,yes
8A,TXA,IMP,1,2,txa_imp,TXA,yes
8B,NOP,IMP,1,1,nop_c_imp,NOP,yes
8C,STY,ABS,3,4,sty_aba,STY,yes
8D,STA,ABS,3,4,sta_aba,STA,yes
8E,STX,ABS,3,4,stx_aba,STX,yes
8F,NOP,IMP,1,1,bbs_zpb,BBS,no
90,BCC,REL,2,2,bcc_rel,BCC,yes
91,STA,IND_Y,2,6,sta_s_idy,STA,yes
92,STA,ZPG_IND,2,5,sta_zpi,STA,yes
93,NOP,IMP,1,1,nop_c_imp,NOP,yes
94,STY,ZPG_X,2,4,sty_s_zpx,STY,yes
95,STA,ZPG_X,2,4,sta_s_zpx,STA,yes
96,STX,ZPG_Y,2,4,stx_s_zpy,STX,yes
97,NOP,IMP,1,1,smb_bzp,SMB,no
98,TYA,IMP,1,2,tya_imp,TYA,yes
99,STA,ABS_Y,3,5,sta_s_aby,STA,yes
9A,TXS,IMP,1,2,txs_imp,TXS,yes
9B,NOP,IMP,1,1,nop_c_imp,NOP,yes
9C,STZ,ABS,3,4,stz_aba,STZ,yes
9D,STA,ABS_X,3,5,sta_s_abx,STA,yes
9E,STZ,ABS_X,3,5,stz_s_abx,STZ,yes
9F,NOP,IMP,1,1,bbs_zpb,BBS,no
A0,LDY,IMM,2,2,ldy_imm,LDY,yes
A1,LDA,IND_X,2,6,lda_s_idx,LDA,yes
A2,LDX,IMM,2,2,ldx_imm,LDX,yes
A3,NOP,IMP,1,1,nop_c_imp,NOP,yes
A4,LDY,ZPG,2,3,ldy_zpg,LDY,yes
A5,LDA,ZPG,2,3,lda_zpg,LDA,yes
