opcode_hex,mnemonic,address_mode,bytes,base_cycles,page_cross_extra,branch_extra,decimal_extra,total_formula
7C,JMP,ABS_IND_X,3,6,0,0,0,base
7D,ADC,ABS_X,3,4,+1 on page cross,0,+1 in decimal mode,base + page-cross + decimal
7E,ROR,ABS_X,3,6,0,0,0,base
7F,NOP,IMP,1,1,0,0,0,base
80,BRA,REL,2,2,0,"+1 taken, +2 if taken across page",0,base + branch
81,STA,IND_X,2,6,0,0,0,base
82,NOP,IMP,2,2,0,0,0,base
83,NOP,IMP,1,1,0,0,0,base
84,STY,ZPG,2,3,0,0,0,base
85,STA,ZPG,2,3,0,0,0,base
86,STX,ZPG,2,3,0,0,0,base
87,NOP,IMP,1,1,0,0,0,base
88,DEY,IMP,1,2,0,0,0,base
89,BIT,IMM,2,2,0,0,0,base
8A,TXA,IMP,1,2,0,0,0,base
8B,NOP,IMP,1,1,0,0,0,base
8C,STY,ABS,3,4,0,0,0,base
8D,STA,ABS,3,4,0,0,0,base
8E,STX,ABS,3,4,0,0,0,base
8F,NOP,IMP,1,1,0,0,0,base
90,BCC,REL,2,2,0,"+1 taken, +2 if taken across page",0,base + branch
91,STA,IND_Y,2,6,0,0,0,base
92,STA,ZPG_IND,2,5,0,0,0,base
93,NOP,IMP,1,1,0,0,0,base
94,STY,ZPG_X,2,4,0,0,0,base
95,STA,ZPG_X,2,4,0,0,0,base
96,STX,ZPG_Y,2,4,0,0,0,base
97,NOP,IMP,1,1,0,0,0,base
98,TYA,IMP,1,2,0,0,0,base
99,STA,ABS_Y,3,5,0,0,0,base
9A,TXS,IMP,1,2,0,0,0,base
9B,NOP,IMP,1,1,0,0,0,base
9C,STZ,ABS,3,4,0,0,0,base
9D,STA,ABS_X,3,5,0,0,0,base
9E,STZ,ABS_X,3,5,0,0,0,base
9F,NOP,IMP,1,1,0,0,0,base
A0,LDY,IMM,2,2,0,0,0,base
A1,LDA,IND_X,2,6,0,0,0,base
A2,LDX,IMM,2,2,0,0,0,base
A3,NOP,IMP,1,1,0,0,0,base
A4,LDY,ZPG,2,3,0,0,0,base
A5,LDA,ZPG,2,3,0,0,0,base
A6,LDX,ZPG,2,3,0,0,0,base
A7,NOP,IMP,1,1,0,0,0,base
A8,TAY,IMP,1,2,0,0,0,base
A9,LDA,IMM,2,2,0,0,0,base
AA,TAX,IMP,1,2,0,0,0,base
AB,NOP,IMP,1,1,0,0,0,base
AC,LDY,ABS,3,4,0,0,0,base
AD,LDA,ABS,3,4,0,0,0,base
AE,LDX,ABS,3,4,0,0,0,base
AF,NOP,IMP,1,1,0,0,0,base
B0,BCS,REL,2,2,0,"+1 taken, +2 if taken across page",0,base + branch
B1,LDA,IND_Y,2,5,+1 on page cross,0,0,base + page-cross
B2,LDA,ZPG_IND,2,5,0,0,0,base
B3,NOP,IMP,1,1,0,0,0,base
B4,LDY,ZPG_X,2,4,0,0,0,base
B5,LDA,ZPG_X,2,4,0,0,0,base
B6,LDX,ZPG_Y,2,4,0,0,0,base
B7,NOP,IMP,1,1,0,0,0,base
B8,CLV,IMP,1,2,0,0,0,base
B9,LDA,ABS_Y,3,4,+1 on page cross,0,0,base + page-cross
BA,TSX,IMP,1,2,0,0,0,base
BB,NOP,IMP,1,1,0,0,0,base
BC,LDY,ABS_X,3,4,+1 on page cross,0,0,base + page-cross
BD,LDA,ABS_X,3,4,+1 on page cross,0,0,base + page-cross
BE,LDX,ABS_Y,3,4,+1 on page cross,0,0,base + page-cross
BF,NOP,IMP,1,1,0,0,0,base
C0,CPY,IMM,2,2,0,0,0,base
C1,CMP,IND_X,2,6,0,0,0,base
C2,NOP,IMP,2,2,0,0,0,base
C3,NOP,IMP,1,1,0,0,0,base
C4,CPY,ZPG,2,3,0,0,0,base
C5,CMP,ZPG,2,3,0,0,0,base
C6,DEC,ZPG,2,5,0,0,0,base
C7,NOP,IMP,1,1,0,0,0,base
C8,INY,IMP,1,2,0,0,0,base
C9,CMP,IMM,2,2,0,0,0,base
CA,DEX,IMP,1,2,0,0,0,base
CB,NOP,IMP,1,1,0,0,0,base
CC,CPY,ABS,3,4,0,0,0,base
CD,CMP,ABS,3,4,0,0,0,base
CE,DEC,ABS,3,6,0,0,0,base
CF,NOP,IMP,1,1,0,0,0,base
D0,BNE,REL,2,2,0,"+1 taken, +2 if taken across page",0,base + branch
D1,CMP,IND_Y,2,5,+1 on page cross,0,0,base + page-cross
D2,CMP,ZPG_IND,2,5,0,0,0,base
D3,NOP,IMP,1,1,0,0,0,base
D4,NOP,IMP,2,4,0,0,0,base
D5,CMP,ZPG_X,2,4,0,0,0,base
D6,DEC,ZPG_X,2,6,0,0,0,base
D7,NOP,IMP,1,1,0,0,0,base
D8,CLD,IMP,1,2,0,0,0,base
D9,CMP,ABS_Y,3,4,+1 on page cross,0,0,base + page-cross
DA,PHX,IMP,1,3,0,0,0,base
DB,NOP,IMP,1,1,0,0,0,base
DC,NOP,IMP,3,4,0,0,0,base
DD,CMP,ABS_X,3,4,+1 on page cross,0,0,base + page-cross
DE,DEC,ABS_X,3,6,0,0,0,base
DF,NOP,IMP,1,1,0,0,0,base
E0,CPX,IMM,2,2,0,0,0,base
E1,SBC,IND_X,2,6,0,0,+1 in decimal mode,base + decimal
E2,NOP,IMP,2,2,0,0,0,base
E3,NOP,IMP,1,1,0,0,0,base
E4,CPX,ZPG,2,3,0,0,0,base
E5,SBC,ZPG,2,3,0,0,+1 in decimal mode,base + decimal
E6,INC,ZPG,2,5,0,0,0,base
E7,NOP,IMP,1,1,0,0,0,base
E8,INX,IMP,1,2,0,0,0,base
E9,SBC,IMM,2,2,0,0,+1 in decimal mode,base + decimal
EA,NOP,IMP,1,2,0,0,0,base
EB,NOP,IMP,1,1,0,0,0,base
EC,CPX,ABS,3,4,0,0,0,base
ED,SBC,ABS,3,4,0,0,+1 in decimal mode,base + decimal
EE,INC,ABS,3,6,0,0,0,base
EF,NOP,IMP,1,1,0,0,0,base
F0,BEQ,REL,2,2,0,"+1 taken, +2 if taken across page",0,base + branch
F1,SBC,IND_Y,2,5,+1 on page cross,0,+1 in decimal mode,base + page-cross + decimal
F2,SBC,ZPG_IND,2,5,0,0,+1 in decimal mode,base + decimal
F3,NOP,IMP,1,1,0,0,0,base
F4,NOP,IMP,2,4,0,0,0,base
F5,SBC,ZPG_X,2,4,0,0,+1 in decimal mode,base + decimal
F6,INC,ZPG_X,2,6,0,0,0,base
F7,NOP,IMP,1,1,0,0,0,base
F8,SED,IMP,1,2,0,0,0,base
F9,SBC,ABS_Y,3,4,+1 on page cross,0,+1 in decimal mode,base + page-cross + decimal
FA,PLX,IMP,1,4,0,0,0,base
FB,NOP,IMP,1,1,0,0,0,base
FC,NOP,IMP,3,4,0,0,0,base
FD,SBC,ABS_X,3,4,+1 on page cross,0,+1 in decimal mode,base + page-cross + decimal
FE,INC,ABS_X,3,6,0,0,0,base
FF,NOP,IMP,1,1,0,0,0,base
