opcode_hex,mnemonic,address_mode,bytes,base_cycles,microcode_source,associated_tests,status
0F,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
10,BPL,REL,2,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
11,ORA,IND_Y,2,5,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
12,ORA,ZPG_IND,2,5,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
13,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
14,TRB,ZPG,2,5,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
15,ORA,ZPG_X,2,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
16,ASL,ZPG_X,2,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
17,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
18,CLC,IMP,1,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
19,ORA,ABS_Y,3,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
1A,INA,ACC,1,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
1B,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
1C,TRB,ABS,3,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
1D,ORA,ABS_X,3,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
1E,ASL,ABS_X,3,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
1F,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
20,JSR,ABS,3,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
21,AND,IND_X,2,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
